img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.google.com.sa/,46089,156956.0,,,,,
gsa_super_g-64.gif,22777,22232.0,33080.0,31694.0,26348.0,21012.0,14814
earth-day-2022-3-6753651837109798.2-lat.webp,174465,173994.0,,,,,
searchbox_sprites317_hr.webp,1812,1700.0,1678.0,1680.0,1614.0,1576.0,1554
nav_logo325_hr.webp,5189,5096.0,5956.0,5850.0,5514.0,5122.0,4838
client_204?&atyp=i&biw=360&bih=640&dpr=2.625&mtp=1&ei=JKNiYtyaC86Wa5OCgYgL,15,0.0,,,,,
home_icon.svg,485,232.0,,,,,
search_activity_icon.svg,395,393.0,,,,,
save_icon.svg,596,1016.0,,,,,
manage_searches_icon.svg,346,383.0,,,,,
settings_icon.svg,555,869.0,,,,,
privacy_advisor_icon.svg,507,745.0,,,,,
explicit_icon.svg,290,255.0,,,,,
how_search_works_icon.svg,413,440.0,,,,,
help_icon.svg,365,465.0,,,,,
feedback_icon.svg,274,273.0,,,,,
fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19028794&client=throttler&authuser=0&ei=JKNiYtyaC86Wa5OCgYgL&zx=1650631461559,21,0.0,,,,,
gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19028795&ic=1&ogd=google.com.sa&ogprm=up&vet=10ahUKEwjcvNuu2af3AhVOyxoKHRNBALEQjW0IAQ.JKNiYtyaC86Wa5OCgYgL.s&vis=1&ei=JKNiYtyaC86Wa5OCgYgL&zx=1650631461560,14,0.0,,,,,
ui,0,0.0,,,,,
gen_204?atyp=i&ct=psnt&cad=&nt=navigate&ei=JKNiYtyaC86Wa5OCgYgL&zx=1650631461770,14,0.0,,,,,
gen_204?atyp=i&ct=14&cad=e&ogsr=1&id=19028795&ic=1&ogd=google.com.sa&ogprm=up&vis=1&ei=JKNiYtyaC86Wa5OCgYgL&zx=1650631461999,14,0.0,,,,,
pageTransferSize,754021,,,,,,
totalByteWeight,1792002,,,,,,
